epoch,total,reconstruction,kl,divergence,smoothness
0,8.944119453430176,0.23606151342391968,0.005235346965491772,1.7028154134750366,1.934572696685791
1,9.278863906860352,0.22348856925964355,0.005491676740348339,1.771224856376648,1.9870139360427856
2,9.47923755645752,0.20717325806617737,0.00580234732478857,1.8134807348251343,2.040804624557495
3,9.000505447387695,0.19519859552383423,0.006119093392044306,1.7250134944915771,1.796271562576294
4,8.595595359802246,0.1856306940317154,0.00658542662858963,1.6439645290374756,1.8948339223861694
5,8.841411590576172,0.17966926097869873,0.0071663581766188145,1.695768117904663,1.8218475580215454
6,8.94757080078125,0.17427627742290497,0.007841785438358784,1.7167562246322632,1.8872929811477661
7,8.699118614196777,0.17242775857448578,0.008552415296435356,1.6684668064117432,1.835018515586853
8,8.577730178833008,0.1655939519405365,0.009355652146041393,1.6481600999832153,1.7039982080459595
9,8.379318237304688,0.16294614970684052,0.010267230682075024,1.6085166931152344,1.7276225090026855
10,9.591453552246094,0.1699337661266327,0.01122501865029335,1.8458868265151978,1.9096416234970093
11,8.831668853759766,0.16500398516654968,0.012234406545758247,1.6982581615447998,1.7415035963058472
12,8.580243110656738,0.16214704513549805,0.013291587121784687,1.6487858295440674,1.7283861637115479
13,8.597464561462402,0.1654987633228302,0.01438639685511589,1.6490668058395386,1.851932168006897
14,8.561182975769043,0.16171866655349731,0.01561668235808611,1.646618127822876,1.6481162309646606
15,8.600335121154785,0.16255994141101837,0.017001328989863396,1.6536974906921387,1.6758739948272705
16,8.419998168945312,0.16156184673309326,0.01845991425216198,1.6187736988067627,1.6272152662277222
17,8.314359664916992,0.16243815422058105,0.020013902336359024,1.5977272987365723,1.6128308773040771
18,8.463428497314453,0.16182053089141846,0.021651867777109146,1.6265431642532349,1.6672711372375488
19,8.293231010437012,0.16148382425308228,0.02341349981725216,1.59576416015625,1.505854845046997
20,8.357667922973633,0.1609436571598053,0.025398243218660355,1.6100075244903564,1.4414689540863037
21,7.824754238128662,0.15768279135227203,0.027516527101397514,1.5045278072357178,1.4168076515197754
22,8.532591819763184,0.1606948971748352,0.029897667467594147,1.638996958732605,1.7392268180847168
23,7.983457088470459,0.158174067735672,0.03254532441496849,1.5339677333831787,1.5218987464904785
24,7.969123840332031,0.16062918305397034,0.03549044206738472,1.5343003273010254,1.334436058998108
25,7.758279800415039,0.1595873087644577,0.0387456975877285,1.4896513223648071,1.4656176567077637
26,7.535567283630371,0.15697836875915527,0.04241340234875679,1.4479058980941772,1.3481826782226562
27,7.57006311416626,0.159936785697937,0.04647595435380936,1.4561854600906372,1.2455154657363892
28,7.803565502166748,0.16016808152198792,0.05098012462258339,1.5018246173858643,1.2917664051055908
29,7.39249324798584,0.15872317552566528,0.055972449481487274,1.4208310842514038,1.2401708364486694
30,7.102391719818115,0.15910854935646057,0.06143777817487717,1.3622362613677979,1.259584903717041
31,7.190466403961182,0.15864890813827515,0.06743404269218445,1.3806962966918945,1.2159240245819092
32,6.849232196807861,0.1593841314315796,0.0739809200167656,1.3152004480361938,1.064475178718567
33,6.589582920074463,0.15827447175979614,0.08112206310033798,1.2631266117095947,1.075635313987732
34,7.094091892242432,0.15674732625484467,0.08887236565351486,1.3644698858261108,1.0610793828964233
35,6.371927738189697,0.15831945836544037,0.09730401635169983,1.220470666885376,1.0152499675750732
36,6.350034236907959,0.15948429703712463,0.10640925914049149,1.2165560722351074,0.9712892770767212
37,6.372239589691162,0.1560858190059662,0.11622163653373718,1.2227224111557007,0.909196138381958
38,6.304047107696533,0.1567492038011551,0.1268264204263687,1.208738088607788,0.9092463254928589
39,6.046182155609131,0.1575365662574768,0.13823933899402618,1.1567821502685547,0.9091091752052307
40,6.067495346069336,0.1566479206085205,0.15041273832321167,1.1619623899459839,0.8599439263343811
41,5.9691386222839355,0.15707367658615112,0.16350005567073822,1.1426692008972168,0.8236864805221558
42,6.045881748199463,0.1562838852405548,0.17756187915802002,1.1578130722045898,0.8277666568756104
43,5.634885787963867,0.15817439556121826,0.19263459742069244,1.0758519172668457,0.7818858623504639
44,5.1127028465271,0.15815818309783936,0.2086700201034546,0.9728798866271973,0.6927810907363892
45,5.16261625289917,0.15723386406898499,0.2256288230419159,0.9837074875831604,0.6428210735321045
46,5.367314338684082,0.15671569108963013,0.24356873333454132,1.0244439840316772,0.6402145624160767
47,5.2369537353515625,0.1576739251613617,0.26260459423065186,0.9989210963249207,0.5841416716575623
48,5.1121602058410645,0.1555500626564026,0.28271862864494324,0.9742812514305115,0.5693194270133972
49,4.882325649261475,0.15706518292427063,0.3039599061012268,0.9269301295280457,0.6021363139152527
50,4.70595121383667,0.15684470534324646,0.3262695074081421,0.8925659656524658,0.5364970564842224
51,4.6351752281188965,0.15759918093681335,0.34970876574516296,0.8785675168037415,0.4976769983768463
52,4.383650302886963,0.15623071789741516,0.374360054731369,0.8291575312614441,0.4419545829296112
53,4.374786376953125,0.15798678994178772,0.4000791013240814,0.8263009786605835,0.45286574959754944
54,4.021513938903809,0.15712270140647888,0.4268658459186554,0.7561357021331787,0.4102625846862793
55,4.135432720184326,0.15673592686653137,0.45456382632255554,0.7795612812042236,0.3543435335159302
56,4.076164722442627,0.15792140364646912,0.4835124909877777,0.7663909196853638,0.3793761432170868
57,3.8293821811676025,0.15706634521484375,0.5136297345161438,0.7171470522880554,0.35217562317848206
58,3.633993148803711,0.1563410460948944,0.5448097586631775,0.6784855723381042,0.30743157863616943
59,3.613093614578247,0.1565563976764679,0.5770044922828674,0.6741240620613098,0.282164990901947
60,3.4206480979919434,0.1569654643535614,0.6102901101112366,0.6350796818733215,0.27255335450172424
61,3.4411542415618896,0.15696506202220917,0.6445661783218384,0.6387096643447876,0.2618425488471985
62,3.1566693782806396,0.15724296867847443,0.6799651980400085,0.5818609595298767,0.22125007212162018
63,3.1373467445373535,0.15661686658859253,0.7161281704902649,0.577494204044342,0.21645979583263397
64,3.0985159873962402,0.1564263105392456,0.7528644800186157,0.5693489909172058,0.20058168470859528
65,2.9085657596588135,0.15638002753257751,0.7904357314109802,0.5310284495353699,0.1799977570772171
66,2.8455514907836914,0.15676069259643555,0.8289972543716431,0.5178821682929993,0.16480115056037903
67,2.6147263050079346,0.156986802816391,0.8682619333267212,0.47134649753570557,0.14180821180343628
68,2.555891275405884,0.15653793513774872,0.9072145819664001,0.4588451385498047,0.1440616399049759
69,2.516233444213867,0.1573220193386078,0.9464380145072937,0.45007601380348206,0.138875812292099
70,2.488975763320923,0.15653717517852783,0.9863319993019104,0.44441723823547363,0.11719249933958054
71,2.3778181076049805,0.15659940242767334,1.0269598960876465,0.4214920103549957,0.11062530428171158
72,2.2307982444763184,0.15690703690052032,1.0681788921356201,0.39123865962028503,0.10880059748888016
73,2.145007610321045,0.15632839500904083,1.109734058380127,0.37373292446136475,0.09041274338960648
74,1.9777709245681763,0.15689441561698914,1.1513941287994385,0.33957502245903015,0.07861927896738052
75,2.043462038040161,0.15618965029716492,1.193114995956421,0.351982980966568,0.08045919984579086
76,1.9467095136642456,0.15675002336502075,1.2350659370422363,0.33185938000679016,0.07155990600585938
77,1.885846495628357,0.15621793270111084,1.2772225141525269,0.3191532790660858,0.06139924377202988
78,1.789029836654663,0.15691138803958893,1.3195029497146606,0.2989514172077179,0.054111383855342865
79,1.7238552570343018,0.15610626339912415,1.361618161201477,0.2851942479610443,0.05615944415330887
80,1.7445529699325562,0.15626701712608337,1.403421401977539,0.2884959876537323,0.05463893711566925
81,1.5579066276550293,0.1559353917837143,1.4449886083602905,0.25059056282043457,0.04519529640674591
82,1.555713415145874,0.1559789478778839,1.4861102104187012,0.24935221672058105,0.04362344741821289
83,1.5545353889465332,0.1558426022529602,1.5271674394607544,0.24839375913143158,0.040073372423648834
84,1.5205177068710327,0.15557219088077545,1.567954659461975,0.24090546369552612,0.03622656688094139
85,1.3951088190078735,0.155134916305542,1.6086517572402954,0.21515853703022003,0.0331609770655632
86,1.402358889579773,0.1556658297777176,1.6490881443023682,0.21570855379104614,0.032414913177490234
87,1.3793137073516846,0.15550874173641205,1.6886847019195557,0.21037867665290833,0.03043229877948761
88,1.307733416557312,0.15533024072647095,1.7280672788619995,0.19532638788223267,0.029644841328263283
89,1.3015953302383423,0.1556750237941742,1.7668620347976685,0.19334638118743896,0.025022534653544426
90,1.2961223125457764,0.1551489233970642,1.8054136037826538,0.1916216015815735,0.023239627480506897
91,1.2592058181762695,0.15536504983901978,1.8436381816864014,0.18340004980564117,0.024767247959971428
92,1.2537323236465454,0.15509340167045593,1.8815834522247314,0.1816595196723938,0.02182944491505623
93,1.2141737937927246,0.15495547652244568,1.9194674491882324,0.17305949330329895,0.019741451367735863
94,1.149179458618164,0.15473562479019165,1.9560327529907227,0.15941187739372253,0.017810991033911705
95,1.186772346496582,0.15437713265419006,1.991784691810608,0.1663006842136383,0.017132366076111794
96,1.1791880130767822,0.15464213490486145,2.027263879776001,0.1640225201845169,0.017068877816200256
97,1.129607081413269,0.15430395305156708,2.0622665882110596,0.15353068709373474,0.014230219647288322
98,1.086953043937683,0.15413802862167358,2.0971028804779053,0.1443489044904709,0.013601923361420631
99,1.052154302597046,0.15425874292850494,2.130897283554077,0.1366913914680481,0.013488126918673515
100,1.0255249738693237,0.15359801054000854,2.163360595703125,0.1308886855840683,0.011474254541099072
101,1.018262505531311,0.15391701459884644,2.1949853897094727,0.12875649333000183,0.010644715279340744
102,1.0028396844863892,0.15376433730125427,2.2263972759246826,0.12505663931369781,0.011523791588842869
103,0.9816681742668152,0.15305675566196442,2.257316827774048,0.12037099152803421,0.010248009115457535
104,0.9832569360733032,0.15288442373275757,2.288015604019165,0.12012769281864166,0.009325381368398666
105,0.9615325331687927,0.15331748127937317,2.3176321983337402,0.11511815339326859,0.008610199205577374
106,0.9735121726989746,0.15212833881378174,2.3466081619262695,0.11715015769004822,0.009721830487251282
107,0.9209497570991516,0.15233413875102997,2.3746840953826904,0.10604996234178543,0.008973334915935993
108,0.9676142334938049,0.15195637941360474,2.402543783187866,0.11492269486188889,0.007899829186499119
109,0.9548413157463074,0.15155284106731415,2.429879665374756,0.11188740283250809,0.00863517727702856
110,0.9282262325286865,0.15056540071964264,2.4572911262512207,0.1062331572175026,0.0076592895202338696
111,0.8829381465911865,0.15080991387367249,2.483916997909546,0.09661084413528442,0.006822915282100439
112,0.8916798830032349,0.150400310754776,2.509059190750122,0.09791779518127441,0.00784623995423317
113,0.8857740759849548,0.15035007894039154,2.533797025680542,0.09628882259130478,0.006001847330480814
114,0.8887749910354614,0.15020012855529785,2.5580992698669434,0.09642768651247025,0.00626483466476202
115,0.857554018497467,0.14977771043777466,2.5818686485290527,0.08978763967752457,0.006512692663818598
116,0.8966811299324036,0.14911359548568726,2.6055126190185547,0.09727396816015244,0.006464269012212753
117,0.8678358197212219,0.14896845817565918,2.6282734870910645,0.09109894186258316,0.005453125573694706
118,0.859352171421051,0.1472899317741394,2.649888277053833,0.08930793404579163,0.005337774753570557
119,0.838642954826355,0.14749237895011902,2.6713297367095947,0.08470113575458527,0.005119149573147297
120,0.8249723315238953,0.14659857749938965,2.692547082901001,0.08171148598194122,0.005616474896669388
121,0.8197035789489746,0.14648965001106262,2.713675022125244,0.08027864247560501,0.004532374441623688
122,0.8276352286338806,0.14595726132392883,2.733766555786133,0.08154916018247604,0.005554265342652798
123,0.8166484832763672,0.1450132131576538,2.7533316612243652,0.07916390895843506,0.004825695883482695
124,0.7991209030151367,0.14454126358032227,2.7727651596069336,0.07536601275205612,0.004730216693133116
125,0.7802961468696594,0.14399904012680054,2.7921063899993896,0.07132024317979813,0.004852140322327614
126,0.7869524955749512,0.1429939866065979,2.8111684322357178,0.07247624546289444,0.004604576155543327
127,0.7772945165634155,0.14173850417137146,2.82977032661438,0.07043581455945969,0.003999150358140469
128,0.761733889579773,0.14168870449066162,2.8480403423309326,0.06696613132953644,0.0041048270650208
129,0.7835326194763184,0.14009061455726624,2.8662092685699463,0.07127530872821808,0.004445241764187813
130,0.7498128414154053,0.1399630606174469,2.8843700885772705,0.06420082598924637,0.004086396191269159
131,0.7504265308380127,0.13860300183296204,2.9020438194274902,0.06424729526042938,0.003826816799119115
132,0.7466298937797546,0.13720306754112244,2.9193878173828125,0.06342481076717377,0.0036398922093212605
133,0.7523336410522461,0.1357291042804718,2.936530351638794,0.06451861560344696,0.003583897603675723
134,0.7464498281478882,0.13509777188301086,2.9536173343658447,0.06312351673841476,0.00372759229503572
135,0.7718149423599243,0.1340484917163849,2.9706335067749023,0.06805963069200516,0.004049759823828936
136,0.7278318405151367,0.13236992061138153,2.9869534969329834,0.05927764251828194,0.0037834178656339645
137,0.7546764612197876,0.13122692704200745,3.0030932426452637,0.06455668807029724,0.003568036016076803
138,0.7296014428138733,0.1298806220293045,3.0189359188079834,0.05949213728308678,0.003665404161438346
139,0.730536699295044,0.1288534253835678,3.034762144088745,0.05957401916384697,0.0033694521989673376
140,0.7114009857177734,0.12672288715839386,3.049729585647583,0.0558694489300251,0.0035789499524980783
141,0.7433643341064453,0.12414976954460144,3.0644404888153076,0.06248481944203377,0.0034642235841602087
142,0.68906569480896,0.1221638172864914,3.0790886878967285,0.051728446036577225,0.003508615540340543
143,0.6959781050682068,0.1213359609246254,3.0936295986175537,0.05298835411667824,0.003374407533556223
144,0.6931217908859253,0.11787623167037964,3.107414484024048,0.05283325910568237,0.003378272522240877
145,0.7195715308189392,0.11799553036689758,3.120723247528076,0.05783494561910629,0.003289830405265093
146,0.6795258522033691,0.11515270173549652,3.134068489074707,0.050127461552619934,0.003290375228971243
147,0.6932055950164795,0.11224175989627838,3.1471712589263916,0.05318966507911682,0.00298366229981184
148,0.6897332668304443,0.11006283760070801,3.1596367359161377,0.052669938653707504,0.003570277476683259
149,0.6969557404518127,0.1074516624212265,3.172184467315674,0.05438781902194023,0.0034652608446776867
